"Condition" "Batch" "Effect" "Strain" "Nuclear" "Mito" "Replicate" "WORMLENGTH" "n" "PHENO" "Status"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 3 728.350702046726 58 718.435286934875 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 4 830.932068934946 31 821.016653823095 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4406" "ECA2546" "ECA2602" 5 828.369499190266 42 818.454084078415 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 1 890.743617412908 13 880.828202301057 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 2 918.087325819668 15 908.171910707817 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 3 903.139816244831 16 893.22440113298 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 4 899.631616831063 26 889.716201719212 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4299" "ECA2602" "ECA2367" 5 873.04794077912 17 863.132525667269 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 2 771.97199311383 12 762.056578001979 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 3 827.775487511545 7 817.860072399694 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 4 868.583144894925 13 858.667729783074 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 5 633.280482612098 5 623.365067500247 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 6 806.011128594919 12 796.095713483068 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 7 675.263007568587 6 665.347592456736 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 5 839.602008216934 6 829.686593105083 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 3 958.977044345271 11 949.06162923342 "Matched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 4 937.04117396567 15 927.125758853819 "Matched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 5 933.145486777315 15 923.230071665464 "Matched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 1 934.070030618052 20 924.154615506201 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 2 922.958291595156 19 913.042876483305 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 3 878.117291719312 15 868.201876607461 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 4 921.806464524158 16 911.891049412307 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 5 916.489466214946 14 906.574051103095 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 6 894.12595725184 24 884.210542139989 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4301" "ECA2602" "ECA1493" 7 845.608282721934 38 835.692867610083 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4505" "ECA1229" "ECA1493" 6 846.50442582844 7 836.589010716589 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4505" "ECA1229" "ECA1493" 7 833.169661323768 7 823.254246211917 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4448" "ECA1493" "ECA1229" 4 669.571911339412 17 659.656496227561 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4448" "ECA1493" "ECA1229" 5 656.465668080521 11 646.55025296867 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 8 741.508362861448 7 731.592947749597 "Matched"
"20C" 2012021 9.91541511185105 "QG4448" "ECA1493" "ECA1229" 7 690.838661092488 15 680.923245980637 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 6 890.194631314648 8 880.279216202797 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 1 871.006370854966 12 861.090955743115 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 2 870.227754589955 16 860.312339478104 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 3 852.774795520348 12 842.859380408497 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 4 868.376753952725 15 858.461338840874 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 5 856.015035736701 14 846.09962062485 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 6 850.76870840676 15 840.853293294909 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 7 783.984715926427 10 774.069300814576 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4338" "ECA1298" "ECA2602" 8 806.299801337093 6 796.384386225242 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4411" "ECA2546" "ECA1298" 6 958.818123389634 11 948.902708277783 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4411" "ECA2546" "ECA1298" 7 846.352749072478 10 836.437333960627 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 5 679.827341934041 6 669.91192682219 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 6 734.711825154631 14 724.79641004278 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 7 770.442530769425 6 760.527115657574 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4452" "ECA1493" "ECA2367" 8 778.254671313981 7 768.33925620213 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4420" "ECA2546" "ECA1493" 5 961.884106651994 22 951.968691540143 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4341" "ECA1298" "ECA2546" 1 840.930604846827 10 831.015189734976 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4503" "ECA1229" "ECA2367" 2 728.883449684536 11 718.968034572685 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4503" "ECA1229" "ECA2367" 3 694.150369747618 10 684.234954635767 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4503" "ECA1229" "ECA2367" 4 716.145659383952 11 706.230244272101 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4503" "ECA1229" "ECA2367" 5 852.878544863447 10 842.963129751596 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 1 746.494644834501 15 736.57922972265 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 3 874.280281971934 18 864.364866860083 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4445" "ECA1493" "ECA1298" 3 665.239066925601 17 655.32365181375 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 6 894.094867812254 6 884.179452700403 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 7 864.241363026565 7 854.325947914714 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4414" "ECA2546" "ECA1229" 8 919.765011459605 5 909.849596347754 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4454" "ECA1493" "ECA1493" 6 743.600540197274 11 733.685125085423 "Matched"
"20C" 2012021 9.91541511185105 "QG4350" "ECA1298" "ECA2367" 1 934.60534243666 19 924.689927324809 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4350" "ECA1298" "ECA2367" 2 895.211849208767 20 885.296434096916 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4350" "ECA1298" "ECA2367" 3 929.126539252699 16 919.211124140848 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 1 832.627397672616 13 822.711982560765 "Matched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 2 773.072716615064 10 763.157301503213 "Matched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 3 788.647738961776 10 778.732323849925 "Matched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 4 786.039994854983 10 776.124579743132 "Matched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 5 779.732745377353 8 769.817330265502 "Matched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 6 847.538895135154 8 837.623480023303 "Matched"
"20C" 2012021 9.91541511185105 "QG4343" "ECA1298" "ECA1298" 7 816.240430045934 6 806.325014934083 "Matched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 3 867.212618507734 12 857.297203395883 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 5 897.833951799802 8 887.918536687951 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4491" "ECA1229" "ECA2602" 4 880.151957056567 25 870.236541944716 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 7 874.669183522326 9 864.753768410475 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4418" "ECA2546" "ECA2367" 8 856.064675660358 10 846.149260548507 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4491" "ECA1229" "ECA2602" 7 869.860019803328 24 859.944604691477 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4440" "ECA1493" "ECA2602" 5 817.466396508923 15 807.550981397072 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4443" "ECA1493" "ECA2546" 1 789.708877808167 25 779.793462696316 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 1 806.611770018059 8 796.696354906208 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 2 789.577965838101 10 779.66255072625 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 3 822.010317900777 15 812.094902788926 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 4 789.044390412005 13 779.128975300154 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 5 886.013603072303 9 876.098187960452 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 6 861.355113810585 12 851.439698698734 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 7 760.465173170941 9 750.54975805909 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4346" "ECA1298" "ECA1229" 8 769.999989770063 8 760.084574658212 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4420" "ECA2546" "ECA1493" 4 937.791721620674 11 927.876306508823 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4409" "ECA2546" "ECA2546" 6 948.115319754944 17 938.199904643093 "Matched"
"20C" 2012021 9.91541511185105 "QG4420" "ECA2546" "ECA1493" 6 920.404560510644 19 910.489145398793 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4503" "ECA1229" "ECA2367" 1 733.441546054231 10 723.52613094238 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4350" "ECA1298" "ECA2367" 4 921.076745725078 23 911.161330613227 "Mismatched"
"20C" 2012021 9.91541511185105 "QG4350" "ECA1298" "ECA2367" 5 930.47800747828 16 920.562592366429 "Mismatched"
