"Condition" "Batch" "Effect" "Strain" "Nuclear" "Mito" "Replicate" "WORMLENGTH" "n" "PHENO" "Status"
"25C" 4262024 -7.09348459292269 "QG5034" "ECA2602" "ECA2602" 7 1167.20386718941 21 1174.29735178233 "Matched"
"25C" 4262024 -7.09348459292269 "QG5034" "ECA2602" "ECA2602" 8 1150.98607851417 19 1158.07956310709 "Matched"
"25C" 4262024 -7.09348459292269 "QG5034" "ECA2602" "ECA2602" 9 1153.86786262624 24 1160.96134721916 "Matched"
"25C" 4262024 -7.09348459292269 "QG5051" "ECA2546" "ECA1493" 7 1154.61081204145 25 1161.70429663437 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5062" "ECA1298" "ECA2367" 6 962.779770627713 54 969.873255220636 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5062" "ECA1298" "ECA2367" 7 1087.09827967786 29 1094.19176427078 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5063" "ECA1298" "ECA1493" 1 1101.05249407012 15 1108.14597866304 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5063" "ECA1298" "ECA1493" 2 1099.28342437383 24 1106.37690896675 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5063" "ECA1298" "ECA1493" 3 1081.7754198907 22 1088.86890448362 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5063" "ECA1298" "ECA1493" 4 1131.28168271316 15 1138.37516730608 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5063" "ECA1298" "ECA1493" 5 1071.30948983016 17 1078.40297442308 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5063" "ECA1298" "ECA1493" 6 1094.30701644825 14 1101.40050104117 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5063" "ECA1298" "ECA1493" 7 1047.24284615058 15 1054.3363307435 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5046" "ECA2546" "ECA2602" 5 1198.72495727526 20 1205.81844186818 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 1 1192.32315458953 21 1199.41663918245 "Matched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 2 1109.15621193537 46 1116.24969652829 "Matched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 3 1043.66066012974 58 1050.75414472266 "Matched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 4 986.932611598945 67 994.026096191868 "Matched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 5 1021.30113949127 55 1028.39462408419 "Matched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 6 1094.94592759142 53 1102.03941218434 "Matched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 7 1081.13967618678 43 1088.2331607797 "Matched"
"25C" 4262024 -7.09348459292269 "QG5047" "ECA2546" "ECA2546" 8 1137.73560032827 37 1144.82908492119 "Matched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 1 1118.77483249843 27 1125.86831709135 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 2 1043.79225633507 45 1050.88574092799 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 3 1048.31497400166 45 1055.40845859458 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 4 1080.86707579316 34 1087.96056038608 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 5 1113.30294737731 28 1120.39643197023 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 6 1127.17115398426 13 1134.26463857718 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 7 1114.2629797594 32 1121.35646435232 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5048" "ECA2546" "ECA1298" 8 1110.07573477011 18 1117.16921936303 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 1 966.11919058385 59 973.212675176773 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 2 1111.92151298164 34 1119.01499757456 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 3 1011.81278298516 48 1018.90626757808 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 4 1071.77506993368 41 1078.8685545266 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 5 1135.89834973371 30 1142.99183432663 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 6 1149.60201206487 25 1156.69549665779 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 7 1156.6371743064 13 1163.73065889932 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5049" "ECA2546" "ECA1229" 8 1142.50786684277 18 1149.60135143569 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5051" "ECA2546" "ECA1493" 1 992.489389611044 50 999.582874203967 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5051" "ECA2546" "ECA1493" 2 974.923436189895 59 982.016920782818 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5051" "ECA2546" "ECA1493" 3 986.76058580786 50 993.854070400783 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5051" "ECA2546" "ECA1493" 4 1074.7084503778 51 1081.80193497072 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5051" "ECA2546" "ECA1493" 5 1156.6731693074 30 1163.76665390032 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5051" "ECA2546" "ECA1493" 6 1149.90033265745 28 1156.99381725037 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5068" "ECA1229" "ECA2602" 1 800.035324357219 38 807.128808950142 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5068" "ECA1229" "ECA2602" 2 850.351080744782 17 857.444565337705 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5068" "ECA1229" "ECA2602" 3 640.807111348184 29 647.900595941107 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5068" "ECA1229" "ECA2602" 4 740.874152076155 26 747.967636669078 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5068" "ECA1229" "ECA2602" 5 793.756747090769 20 800.850231683692 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5068" "ECA1229" "ECA2602" 6 757.728979116736 13 764.822463709659 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5068" "ECA1229" "ECA2602" 7 688.812298827536 13 695.905783420459 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 1 911.285405607763 57 918.378890200686 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 2 975.489359889183 40 982.582844482106 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 3 932.652034476287 43 939.74551906921 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 4 892.456589248313 48 899.550073841236 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 5 970.003975461325 41 977.097460054248 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 6 915.391811343798 36 922.485295936721 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 7 787.623298827536 45 794.716783420459 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 8 869.926132528466 37 877.019617121389 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 9 974.843341758043 23 981.936826350966 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 10 973.13659900038 38 980.230083593303 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 11 794.014517631563 18 801.108002224486 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 12 1020.62001682229 29 1027.71350141521 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 13 902.623185525657 22 909.71667011858 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5069" "ECA1229" "ECA2546" 14 1008.91235223873 29 1016.00583683165 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 1 885.684461403894 22 892.777945996817 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 2 732.510255107318 52 739.603739700241 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 3 822.340109049029 31 829.433593641952 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 4 588.736040733139 56 595.829525326062 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 5 734.456423767628 23 741.549908360551 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 6 832.08125452032 26 839.174739113243 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 7 869.229292301157 17 876.32277689408 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5070" "ECA1229" "ECA1298" 8 750.626194413288 20 757.719679006211 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5071" "ECA1229" "ECA1493" 1 934.539392892733 30 941.632877485656 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5071" "ECA1229" "ECA1493" 2 895.863304354693 53 902.956788947616 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5071" "ECA1229" "ECA1493" 3 689.249980848878 60 696.343465441801 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5071" "ECA1229" "ECA1493" 4 704.092925844659 52 711.186410437582 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5071" "ECA1229" "ECA1493" 5 834.757394449263 52 841.850879042186 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5038" "ECA2602" "ECA2367" 5 1098.65151795583 38 1105.74500254875 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5038" "ECA2602" "ECA2367" 6 1122.24911655185 26 1129.34260114477 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5038" "ECA2602" "ECA2367" 7 1162.00915803964 23 1169.10264263256 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5038" "ECA2602" "ECA2367" 8 1112.65739524718 17 1119.7508798401 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5039" "ECA2602" "ECA1493" 1 935.564524721208 65 942.658009314131 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5039" "ECA2602" "ECA1493" 2 999.992509355722 50 1007.08599394864 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5039" "ECA2602" "ECA1493" 3 1009.89286880277 48 1016.98635339569 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5039" "ECA2602" "ECA1493" 4 1120.92498244272 32 1128.01846703564 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5039" "ECA2602" "ECA1493" 5 1122.28738579424 31 1129.38087038716 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5039" "ECA2602" "ECA1493" 6 1121.32614324135 21 1128.41962783427 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5039" "ECA2602" "ECA1493" 7 1100.65360751288 38 1107.7470921058 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5058" "ECA1298" "ECA2602" 1 1100.47699241179 28 1107.57047700471 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5058" "ECA1298" "ECA2602" 2 1119.55596916214 30 1126.64945375506 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5058" "ECA1298" "ECA2602" 3 1119.85411492114 26 1126.94759951406 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5058" "ECA1298" "ECA2602" 4 1096.64002851417 24 1103.73351310709 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5058" "ECA1298" "ECA2602" 5 1098.98199920438 18 1106.0754837973 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5058" "ECA1298" "ECA2602" 6 1106.08797692043 18 1113.18146151335 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5058" "ECA1298" "ECA2602" 7 1101.13595223873 15 1108.22943683165 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5059" "ECA1298" "ECA2546" 1 1099.80492757398 7 1106.8984121669 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5059" "ECA1298" "ECA2546" 2 1103.79029734907 18 1110.88378194199 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5059" "ECA1298" "ECA2546" 3 1122.90098867524 21 1129.99447326816 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 1 1030.2327623998 13 1037.32624699272 "Matched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 2 879.85838904882 35 886.951873641743 "Matched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 3 702.513495110432 14 709.606979703355 "Matched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 4 749.090022884308 32 756.183507477231 "Matched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 5 827.398410152299 27 834.491894745222 "Matched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 6 665.271107538376 12 672.364592131299 "Matched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 7 818.398897626634 16 825.492382219557 "Matched"
"25C" 4262024 -7.09348459292269 "QG4619" "ECA1229" "ECA1229" 8 805.485021526696 9 812.578506119619 "Matched"
"25C" 4262024 -7.09348459292269 "QG4620" "ECA1229" "ECA2367" 1 863.387484443677 15 870.4809690366 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG4620" "ECA1229" "ECA2367" 2 681.020240197274 23 688.113724790197 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG4620" "ECA1229" "ECA2367" 3 914.6026574323 26 921.696142025223 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG4620" "ECA1229" "ECA2367" 4 811.281579496728 19 818.375064089651 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG4620" "ECA1229" "ECA2367" 5 850.161293587242 22 857.254778180165 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG4620" "ECA1229" "ECA2367" 6 850.962623357441 15 858.056107950364 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG4620" "ECA1229" "ECA2367" 7 839.909781935458 14 847.003266528381 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5061" "ECA1298" "ECA1229" 3 1081.45306406914 38 1088.54654866206 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5061" "ECA1298" "ECA1229" 4 1068.52684979992 35 1075.62033439284 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5061" "ECA1298" "ECA1229" 5 1084.86811684277 22 1091.96160143569 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5061" "ECA1298" "ECA1229" 6 1090.0041497765 16 1097.09763436942 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5061" "ECA1298" "ECA1229" 7 1089.13640485703 20 1096.22988944995 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5061" "ECA1298" "ECA1229" 8 1083.83139531775 26 1090.92487991067 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5062" "ECA1298" "ECA2367" 1 879.630227885333 68 886.723712478256 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5062" "ECA1298" "ECA2367" 2 878.070858685877 67 885.1643432788 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5062" "ECA1298" "ECA2367" 3 893.670259756411 66 900.763744349334 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5062" "ECA1298" "ECA2367" 4 934.602889541873 50 941.696374134796 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5062" "ECA1298" "ECA2367" 5 1062.38721204145 42 1069.48069663437 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 1 964.686854561724 40 971.780339154647 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 2 991.887927218573 24 998.981411811496 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 3 953.432814152257 43 960.52629874518 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 4 976.229677250767 28 983.32316184369 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 5 1000.04570706109 16 1007.13919165401 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 6 1002.67262103883 23 1009.76610563175 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 7 1000.35538634785 15 1007.44887094077 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5078" "ECA1493" "ECA2602" 8 1005.81931684277 16 1012.91280143569 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 1 1033.94229873954 21 1041.03578333246 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 2 1015.57318388563 21 1022.66666847855 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 3 1025.94596181795 13 1033.03944641087 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 4 1057.10142814705 15 1064.19491273997 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 5 999.250105534532 15 1006.34359012745 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 6 1036.01509403793 14 1043.10857863085 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 7 1046.16992727867 10 1053.26341187159 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5079" "ECA1493" "ECA2546" 8 1071.03799944158 7 1078.1314840345 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 1 1010.66447735048 27 1017.7579619434 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 2 1028.15722033679 31 1035.25070492971 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 3 1028.51390783368 17 1035.6073924266 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 4 1012.23374936538 18 1019.3272339583 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 5 1024.96117887251 20 1032.05466346543 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 6 1027.41968367624 14 1034.51316826916 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 7 996.981364145333 17 1004.07484873826 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5080" "ECA1493" "ECA1298" 8 1012.72584188845 12 1019.81932648137 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 1 1004.17403482582 13 1011.26751941874 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 2 1012.14805089181 12 1019.24153548473 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 3 988.872779119436 11 995.966263712359 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 4 999.884098277884 15 1006.97758287081 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 5 961.034123741861 12 968.127608334784 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 6 1020.8364497765 13 1027.92993436942 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 7 991.351559074527 14 998.44504366745 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5081" "ECA1493" "ECA1229" 8 975.819020034156 10 982.912504627079 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5082" "ECA1493" "ECA2367" 1 1007.6616497765 31 1014.75513436942 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5082" "ECA1493" "ECA2367" 2 1004.72277664385 29 1011.81626123677 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5082" "ECA1493" "ECA2367" 3 1023.39487204766 26 1030.48835664058 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5082" "ECA1493" "ECA2367" 4 1004.84440495268 21 1011.9378895456 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5082" "ECA1493" "ECA2367" 5 1052.09526022411 16 1059.18874481703 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5082" "ECA1493" "ECA2367" 6 1022.6865401885 23 1029.78002478142 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5082" "ECA1493" "ECA2367" 7 1002.07911327256 18 1009.17259786548 "Mismatched"
"25C" 4262024 -7.09348459292269 "QG5083" "ECA1493" "ECA1493" 1 1006.10187163239 32 1013.19535622531 "Matched"
"25C" 4262024 -7.09348459292269 "QG5083" "ECA1493" "ECA1493" 2 959.643463954683 36 966.736948547606 "Matched"
"25C" 4262024 -7.09348459292269 "QG5083" "ECA1493" "ECA1493" 3 999.958202465021 33 1007.05168705794 "Matched"
"25C" 4262024 -7.09348459292269 "QG5083" "ECA1493" "ECA1493" 4 1014.14448092309 24 1021.23796551601 "Matched"
"25C" 4262024 -7.09348459292269 "QG5083" "ECA1493" "ECA1493" 5 995.011798254462 21 1002.10528284738 "Matched"
"25C" 4262024 -7.09348459292269 "QG5083" "ECA1493" "ECA1493" 6 1023.56504019728 21 1030.6585247902 "Matched"
"25C" 4262024 -7.09348459292269 "QG5083" "ECA1493" "ECA1493" 7 991.778339906352 20 998.871824499275 "Matched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 1 1080.64799825446 15 1080.92501847093 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 2 1086.23398003621 14 1086.51100025268 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 3 1044.90072792272 10 1045.17774813919 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 4 1021.20080779062 16 1021.47782800709 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 5 1004.97841758944 8 1005.25543780591 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 6 1071.71496282926 13 1071.99198304573 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 7 1030.30963932451 12 1030.58665954098 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5085" "ECA2367" "ECA2546" 8 1033.49461893495 14 1033.77163915142 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5086" "ECA2367" "ECA1298" 1 847.037677378707 11 847.314697595173 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5086" "ECA2367" "ECA1298" 2 1046.09285575322 5 1046.36987596969 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5086" "ECA2367" "ECA1298" 3 979.228891137466 7 979.505911353932 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5086" "ECA2367" "ECA1298" 4 1003.07809403792 11 1003.35511425439 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5086" "ECA2367" "ECA1298" 5 943.397781405858 9 943.674801622324 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5086" "ECA2367" "ECA1298" 6 991.148878065757 14 991.425898282223 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5086" "ECA2367" "ECA1298" 7 711.528146603461 9 711.805166819927 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5087" "ECA2367" "ECA1493" 1 1069.88251551499 13 1070.15953573146 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5087" "ECA2367" "ECA1493" 2 1086.00822162067 19 1086.28524183714 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5087" "ECA2367" "ECA1493" 3 1050.78853034823 13 1051.0655505647 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5087" "ECA2367" "ECA1493" 4 1070.15224586698 10 1070.42926608345 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5087" "ECA2367" "ECA1493" 5 1096.37493770806 5 1096.65195792453 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5087" "ECA2367" "ECA1493" 6 1046.55554303671 10 1046.83256325318 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5087" "ECA2367" "ECA1493" 7 1046.23881116313 11 1046.5158313796 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5088" "ECA2367" "ECA2602" 1 1058.81439998246 21 1059.09142019893 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5088" "ECA2367" "ECA2602" 2 1062.69491967666 13 1062.97193989313 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5088" "ECA2367" "ECA2602" 3 1021.732592883 19 1022.00961309947 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5088" "ECA2367" "ECA2602" 4 686.237462256181 17 686.514482472647 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5088" "ECA2367" "ECA2602" 5 967.213918653752 8 967.490938870218 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5089" "ECA2367" "ECA2546" 1 1079.07315282057 9 1079.35017303704 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5089" "ECA2367" "ECA2546" 2 1069.39271742462 14 1069.66973764109 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5089" "ECA2367" "ECA2546" 3 920.645798883501 15 920.922819099967 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5089" "ECA2367" "ECA2546" 4 1065.33324324135 9 1065.61026345782 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5089" "ECA2367" "ECA2546" 5 1114.07667618678 7 1114.35369640325 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5090" "ECA2367" "ECA1298" 1 1060.88994979061 6 1061.16697000708 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5090" "ECA2367" "ECA1298" 2 1044.69702384252 5 1044.97404405899 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5090" "ECA2367" "ECA1298" 3 958.755444284848 7 959.032464501314 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5090" "ECA2367" "ECA1298" 4 1006.98051774137 22 1007.25753795784 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5090" "ECA2367" "ECA1298" 5 1079.96310540334 20 1080.24012561981 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5090" "ECA2367" "ECA1298" 6 1017.57912543183 10 1017.8561456483 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5091" "ECA2367" "ECA1493" 1 1069.15189171931 21 1069.42891193578 "Mismatched"
"25C" 5102024 -0.27702021646576 "QG5091" "ECA2367" "ECA1493" 2 1050.02308394268 18 1050.30010415915 "Mismatched"
