"Condition" "Strain" "Nuclear" "Mito" "Replicate" "Batch" "WORMLENGTH" "Status"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1047.75632646194 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1144.35538144682 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1201.93315340242 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1154.54813293666 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1119.77868562239 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1202.8067785054 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1065.39003961543 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1172.38681087776 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1073.83828256955 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1195.59332876109 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1172.2732181296 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "D01" 4122024 1074.47195398426 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1153.90858388563 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1201.2309252466 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1167.83372451395 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1064.03750477207 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1042.80623560174 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1157.59700434261 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1055.58024312116 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1055.46877851417 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1170.96868807293 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1200.04390971407 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1067.60198463055 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1026.94667897582 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1179.79833485405 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1178.69997372456 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1159.27835270317 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "E01" 4122024 1176.71377256087 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "F01" 4122024 1195.34575340242 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "F01" 4122024 1080.86907522529 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "F01" 4122024 1113.4655227756 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "F01" 4122024 1185.30501682229 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "F01" 4122024 1065.42992501441 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "G01" 4122024 1131.02094486669 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "G01" 4122024 1067.97815828397 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "G01" 4122024 1047.8523786903 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "G01" 4122024 1105.03212025685 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "H01" 4122024 1072.05776181795 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "H01" 4122024 1126.11537429763 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "H01" 4122024 1141.04818214009 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "H01" 4122024 1097.47379928042 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "H01" 4122024 1189.30824022551 "Mismatched"
"25C" "QG5033" "ECA2602" "ECA1493" "H01" 4122024 1124.57968214009 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1106.35317429763 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1128.92428692093 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1114.64178576601 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1100.68129944158 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1015.52469058385 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1063.16662643371 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1114.95030128976 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1119.49570392325 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 997.505207797338 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1087.43620376076 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1076.63054187046 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1020.14872875232 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 993.008961817949 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1057.5826903562 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1009.72631676683 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1060.06409461977 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1012.65930291511 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1127.73626356349 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1106.05502211452 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1054.79007618678 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1007.18761494191 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1033.24642848842 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1031.83875023815 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1012.34771270219 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1107.80123536735 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1059.52638585622 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1052.28654312116 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1140.87920553453 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1071.05545384708 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1079.82629461977 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 980.004547337922 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1055.65436126433 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1100.56182396271 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1109.39757548955 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1049.43348901228 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1083.18141505324 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "C08" 4262024 1062.88030249046 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1129.68919418154 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1090.92381871144 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1116.66814803096 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1125.79022350106 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1061.45090783369 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1004.21661626868 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1149.37107197902 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1153.37530320715 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1147.9008005965 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1084.84288566196 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1135.68795877388 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1069.16365208634 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1030.40001555595 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "E08" 4262024 1128.68920304407 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1079.07587644124 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1142.09807909602 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1124.42592829067 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1079.97495639399 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1068.68373961543 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1137.012092883 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1082.17293786989 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1031.76431076634 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1131.93888879005 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1125.02403626031 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1053.93652728611 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1131.62935151327 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1031.64797125356 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1107.68247551298 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1140.6378342352 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1101.11342057462 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1109.70328147024 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1137.98228625986 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1066.545197119 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1139.1354126233 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1140.02322352929 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1151.97290716384 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1123.31234440504 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1140.89442829067 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 1128.19020073615 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "F08" 4262024 992.57508808462 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "G08" 4262024 1140.83074136097 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "G08" 4262024 1095.22725456611 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "G08" 4262024 1154.61181986637 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "G08" 4262024 1112.36024196227 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "G08" 4262024 1144.01639870922 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "G08" 4262024 1130.73595517138 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "G08" 4262024 1135.68207604317 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "H08" 4262024 1149.89602045698 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "H08" 4262024 1073.4841140666 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "H08" 4262024 1134.75165456611 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "H08" 4262024 1134.40398576601 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "H08" 4262024 1073.67959987171 "Mismatched"
"25C" "QG5036" "ECA2602" "ECA1298" "H08" 4262024 1097.23140768665 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1057.92313178174 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1103.49021206487 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1081.09637911944 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1119.39915879333 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1050.17047845604 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1088.33996344329 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1036.78409270701 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1051.31596054284 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1090.0041497765 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1087.30670176019 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1074.38849581566 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1125.31860900807 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1042.36841798598 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1051.87832335744 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1125.17318735916 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1063.45475209511 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1097.11336228837 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1083.8222227756 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1060.88680607938 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1052.35823582835 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1087.57819214877 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1065.85230898861 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1087.73711310441 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1081.76158214009 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1082.0863437352 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1053.37071844764 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1072.26831204145 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1103.41402855897 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1055.78246114414 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1097.90148171738 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1160.63310246223 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "B02" 4262024 1157.96494460724 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1121.43660002342 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1166.8503156586 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1098.35504605381 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1084.49145215108 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1147.21589420977 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1122.3734044568 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1114.55558083278 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1198.99375130105 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1122.37015746657 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1069.51720361715 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1164.35580128977 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1171.7933005643 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1074.95360539488 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1043.07192573202 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1202.47574497812 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1098.10472393052 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1119.25961987514 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1049.29515458557 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1145.49664534781 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1146.45149561494 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1078.78228039455 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1089.42240492446 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1168.1790060139 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1057.9435216441 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1092.7959460566 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1068.60341741291 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1145.48873657136 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1076.55753296489 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1156.24934440504 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1170.30365223873 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1088.08650535392 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1135.03451612025 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1048.91322017788 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1106.4438598408 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "C02" 4262024 1065.03648808462 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1199.15538318359 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1156.95798204611 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1194.35265282057 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1122.69043845174 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1202.57544921807 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1197.58955644649 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1123.0219435331 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1180.02410783369 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1159.36576472718 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1153.57441439226 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1140.05508155824 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1191.71200117834 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1175.42391682229 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1179.99224980473 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "D02" 4262024 1105.90754019727 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1118.62373354473 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1107.83694498689 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1055.64087830139 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1174.39653786989 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1153.65787256086 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1173.02047719809 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1077.02326472718 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1121.44490309573 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1197.56603061805 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1146.73355630288 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1112.47516895837 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1159.33249418154 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1198.43425325871 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1169.50446660756 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1183.60380535392 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1141.09550046788 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1199.96600785315 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1160.06673421168 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1182.49610419899 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "E02" 4262024 1159.86819520162 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1124.18596950802 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1186.2690061398 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1172.93528518416 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1186.90338808462 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1155.11912524659 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1190.84151204145 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1162.07183714443 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1177.19022773705 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1200.02038388563 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1160.89070434261 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1183.14049902761 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1193.44474425266 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1158.92875502776 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1175.44055209511 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "F02" 4262024 1170.37708388563 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1103.19237722537 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1039.67998866647 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1169.23022945436 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1203.72543961543 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1201.83619592708 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1199.97189058385 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1173.31965269642 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1166.32435935572 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "G02" 4262024 1184.35106951679 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1131.34436181795 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1180.39530246223 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1177.05310916045 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1195.49950725184 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1192.01392344129 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1174.70505339365 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1141.19449841563 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1173.84091785511 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1167.84929897115 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1160.36575586465 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1159.24628924831 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1082.36685282057 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1119.23710187161 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1174.1191647506 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1107.368792883 "Mismatched"
"25C" "QG5037" "ECA2602" "ECA1229" "H02" 4262024 1199.64085705657 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1068.0393156586 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1008.09206112072 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1098.52957896705 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1041.72259700277 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1000.23490304407 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1003.60822238508 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1120.09724315816 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1006.88010724307 "Mismatched"
"25C" "QG5039" "ECA2602" "ECA1493" "B05" 4262024 1007.33061624922 "Mismatched"
