"Condition" "Strain" "Nuclear" "Mito" "Replicate" "Batch" "WORMLENGTH" "Status"
"25C" "QG4287" "ECA2602" "ECA2602" "H10" 2012021 1101.38043935552 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "H10" 2012021 1177.44439635654 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "H10" 2012021 1136.25191188448 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "H10" 2012021 1232.72330783369 "Matched"
"25C" "QG4287" "ECA2602" "ECA2602" "H10" 2012021 1189.36048811681 "Matched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1125.90381624922 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1138.7486325945 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1230.58162937117 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1177.45616181795 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1140.20992336245 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1141.69361392183 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1147.13323828693 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1148.25748809339 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1226.90630352915 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1167.53305957136 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1162.59678562239 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1232.74925400372 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1231.6332497765 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1176.56001871144 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1130.56877949608 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "A11" 2012021 1219.70915223873 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1071.70320246223 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1228.64492933417 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1120.28699882754 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1219.44527842617 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1221.70489885375 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1195.63763365335 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1173.25742703816 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1179.94479345608 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1230.94866471841 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1134.63947433463 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1172.76563029615 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1083.77964019826 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1213.87489403793 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "B11" 2012021 1231.04836895837 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1229.27585398427 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1169.97261871144 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1231.07454968252 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1234.4421623998 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1209.00220481303 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1189.79124317271 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1173.44997884301 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1166.13561151126 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1128.47806132331 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1177.39348271316 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1137.95670016307 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1218.24201682229 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "C11" 2012021 1071.58960971407 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "D11" 2012021 1198.34269824569 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "D11" 2012021 1186.53219345608 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "D11" 2012021 1149.6623712105 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "D11" 2012021 1146.04896118168 "Mismatched"
"25C" "QG4295" "ECA2602" "ECA1229" "D11" 2012021 1224.10954556873 "Mismatched"
